case,pade,order,n,omega_re,omega_im
schwarzschild_via_hayward,0,3,0,0.5019798329825724,-0.06976178121174399
schwarzschild_via_hayward,0,3,1,0.5284683983954265,-0.17933711690347606
schwarzschild_via_hayward,0,3,2,0.5419236025637174,-0.21578726656654654
schwarzschild_via_hayward,0,3,3,0.532421537208409,-0.19067156757101758
schwarzschild_via_hayward,0,3,4,0.5062580900498559,-0.09581339748465238
schwarzschild_via_hayward,0,3,5,0.5040739060287196,-0.08350722205698352
schwarzschild_via_hayward,0,6,0,0.5707537614367783,-0.28043325336139213
schwarzschild_via_hayward,0,6,1,1.1133388589054554,-0.9961959486695002
schwarzschild_via_hayward,0,6,2,2.6171092566966427,-2.56946372126245
schwarzschild_via_hayward,0,6,3,5.443075972058702,-5.42032831025939
schwarzschild_via_hayward,0,6,4,9.809556541620388,-9.796952714831484
schwarzschild_via_hayward,0,6,5,15.912680886342427,-15.904914207375162
schwarzschild_via_hayward,1,3,0,0.5019798329825724,-0.06976178121174399
schwarzschild_via_hayward,1,3,1,0.5284683983954265,-0.17933711690347606
schwarzschild_via_hayward,1,3,2,0.5419236025637174,-0.21578726656654654
schwarzschild_via_hayward,1,3,3,0.532421537208409,-0.19067156757101758
schwarzschild_via_hayward,1,3,4,0.5062580900498559,-0.09581339748465238
schwarzschild_via_hayward,1,3,5,0.5040739060287196,-0.08350722205698352
schwarzschild_via_hayward,1,6,0,0.5058582781869736,-0.09367791098713464
schwarzschild_via_hayward,1,6,1,0.5597278313274491,-0.257251236263605
schwarzschild_via_hayward,1,6,2,0.6285516935387406,-0.3846559304716917
schwarzschild_via_hayward,1,6,3,0.696395704372068,-0.4876986061744411
schwarzschild_via_hayward,1,6,4,0.760268030303787,-0.5752307635189756
schwarzschild_via_hayward,1,6,5,0.8200980393127855,-0.6522604905107308
